-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 21:54:05 UTC. --
Sep 27 21:32:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:32:08.941054 W | wal: sync duration of 1.686803914s, expected less than 1s
Sep 27 21:38:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:52.813874 W | etcdserver: request "header:<ID:14919135698845674499 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30637509 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (263.04991ms) to execute
Sep 27 21:38:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:52.814530 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (100.352502ms) to execute
Sep 27 21:38:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:57.596255 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (165.757885ms) to execute
Sep 27 21:38:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:57.596742 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (477.93306ms) to execute
Sep 27 21:38:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:59.773388 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (848.358168ms) to execute
Sep 27 21:38:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:59.773606 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (852.026479ms) to execute
Sep 27 21:38:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:59.773648 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b5x6v\" " with result "range_response_count:1 size:4395" took too long (184.844518ms) to execute
Sep 27 21:38:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:59.773767 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (668.733207ms) to execute
Sep 27 21:39:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:01.781405 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/kiali\" " with result "range_response_count:1 size:602" took too long (560.071897ms) to execute
Sep 27 21:39:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:01.781446 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "range_response_count:0 size:7" took too long (662.715401ms) to execute
Sep 27 21:39:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:01.781523 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (631.519887ms) to execute
Sep 27 21:39:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:01.781600 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wg9cx\" " with result "range_response_count:1 size:4265" took too long (499.414147ms) to execute
Sep 27 21:39:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:03.578607 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (397.946812ms) to execute
Sep 27 21:39:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:03.578820 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5vvxf\" " with result "range_response_count:1 size:4265" took too long (553.862172ms) to execute
Sep 27 21:39:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:03.578859 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (370.009265ms) to execute
Sep 27 21:39:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:03.579058 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b5x6v\" " with result "range_response_count:1 size:4260" took too long (397.441236ms) to execute
Sep 27 21:39:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:39:07.369123 W | wal: sync duration of 1.163325599s, expected less than 1s
