-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 15:24:11 UTC. --
Sep 27 15:21:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:34.473319 W | etcdserver: request "header:<ID:14919135698845405038 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30564561 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (488.721699ms) to execute
Sep 27 15:21:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:40.594267 I | mvcc: store.index: compact 30563948
Sep 27 15:21:40 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:40.599633 I | mvcc: finished scheduled compaction at 30563948 (took 4.241141ms)
Sep 27 15:21:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:42.885132 W | etcdserver: request "header:<ID:14919135698845405099 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:30564582 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (181.008748ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.159553 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (253.130373ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.159587 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (441.503695ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.159862 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (252.490965ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.159988 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (387.640714ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.160029 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (252.777579ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.160189 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (253.716903ms) to execute
Sep 27 15:21:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:48.160292 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (252.765644ms) to execute
Sep 27 15:21:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:53.081509 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (415.495185ms) to execute
Sep 27 15:22:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:22:06.363987 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (130.998456ms) to execute
Sep 27 15:22:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:22:06.364057 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (143.767159ms) to execute
Sep 27 15:22:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:22:06.364265 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (535.770008ms) to execute
Sep 27 15:22:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:22:15.451086 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (428.719249ms) to execute
