-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 11:57:19 UTC. --
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.936513 W | wal: sync duration of 1.511875732s, expected less than 1s
Oct 02 11:35:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:53.679805 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (505.561334ms) to execute
Oct 02 11:36:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:01.342935 W | etcdserver: request "header:<ID:14919135698849682637 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:31414597 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:5886 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (104.638713ms) to execute
Oct 02 11:36:04 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:04.250156 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (124.768685ms) to execute
Oct 02 11:36:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:15.589709 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (330.018557ms) to execute
Oct 02 11:36:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:15.589826 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (390.322535ms) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581402 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (577.505698ms) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581468 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (1.125120285s) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581491 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (605.319989ms) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581518 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/virtualservices\" range_end:\"/registry/networking.istio.io/virtualservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.278044351s) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581549 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (593.231716ms) to execute
Oct 02 11:36:17 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:17.581659 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.083495169s) to execute
Oct 02 11:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:21.912089 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-qxgr4\" " with result "range_response_count:1 size:2504" took too long (922.816659ms) to execute
Oct 02 11:36:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:36:21.912131 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-55g98\" " with result "range_response_count:1 size:2314" took too long (853.697895ms) to execute
